id,Accept
6b460a6cfab,1
2ace454000f,1
cfdced145b2,1
00a997fa48d,1
4a4cbc40146,1
ab1a1dd2de5,1
940147feacd,1
79d6e9410e3,0
68fda46ec99,0
a2fd6e57837,0
401c7b8abda,1
6ed3054cbb5,1
8300020edfd,1
a78bf0c46dd,1
5a2568eb5c3,0
c4c04f687ee,1
485d83be119,1
a9b75d1a3ae,1
f5b624a32cd,0
fe8442bf601,0
a2f2e8eb05f,1
c18f8a302ec,0
d3d7ba37cee,1
d34cf1e0207,1
9581a948427,1
eb65be043e0,1
0637f1646f6,1
641d05c1547,1
d197405a82e,1
a9be832e60b,1
e5c20d06c65,1
88509ef21bd,1
df976fab975,-2147483648
9a30e1b60ea,1
bb274e01a06,1
c7d0ad62b3d,1
504c6c1f8d6,1
7bff85651dd,1
9c59a6c5a53,1
c42999368f2,1
6aa657135c7,1
2930e1fb708,1
257d155fe4f,1
efdce0159c3,1
c9e1c0e46f6,1
3730c9955a4,1
c11da07dcb2,1
35ec2e19d31,0
361306b25c8,1
d3d4c881c31,1
9c5cc7a5d9b,1
7d99e80e832,0
569d09a3c93,0
e4844c3e0db,1
10d36b65715,1
c054e10de25,1
d6d6791e7c5,1
c974dd21a82,0
d770a01df33,1
a9624b90716,1
06309b7d3f3,0
aa095ef54c6,1
70c685f0864,1
3697a9b0dbb,1
cc7ce566888,1
3dadcf38b3a,1
01e53019c2d,1
656b43dc103,1
262171d7069,1
91e488536aa,0
740ea9249ab,1
e72707eb8b1,1
11a9bc824a3,1
4c6d102bbc3,0
4f583f5fd1f,1
39b7a313c7c,1
ab2f92c99ae,1
bd154e68ba5,1
875fad94b47,1
dece2848934,1
002ed8d7cb3,1
422a98cad4f,1
4ac41978353,1
10993f317c3,0
7ac54323dd3,1
07d070c1f3a,1
3c22957fb10,1
7151ed1ba6c,0
b45486c7ce8,1
463430a049f,1
853a957125d,1
af4f0079ffa,0
1f5946044b5,0
28c858ba950,0
6f08732a419,1
9f5e97df1eb,1
a781fe46765,1
45d37f0ac17,1
7a9815a3e18,1
45f59e58a4c,1
44cc6d73aee,1
6e4f76f0991,1
8d5521921a5,1
8b9baf5f5b8,1
997f6af242d,0
c703f2fa043,1
83ccd038493,1
324f1398761,1
37e5254bbe3,1
f810a4da45b,1
6d423ab1949,0
69a09cd3406,1
7159bed8435,1
2f78b5876ba,1
2071d064f58,0
4bf6500a809,1
8e567846712,1
acc7203c8c0,1
79723901578,1
c55f08f43e9,0
68b90313b26,1
33fcd6d34d2,1
6bbcf8eb07d,1
a6120b15bcc,1
10aa1ed7561,1
270c16b577f,1
98b680103f1,0
608c0476da6,1
40ba596478a,0
b822348bef0,1
0c13b1bab79,1
ca1a96cfdd5,1
75f2ec12f48,1
763b20eed92,0
1416e72a19b,1
93624093015,1
c937b1da6e1,0
30919bf2ee3,0
9df272d8c73,1
d97a5484612,1
37686731abe,1
d7200a02127,1
a700f2853b7,0
a61ed260c96,0
dca98d68820,0
239ce0865d3,-2147483648
65f67f4149f,1
ddace7d9104,1
49f582066fe,1
c5dd0665848,0
506a345c6d2,1
1aeea44fd05,-2147483648
463e801b5d2,1
82c44090a82,0
ac961af3fe2,0
82ea6dc9b84,1
f95accfcc75,1
f7f8923588f,1
4c13fb9e7c0,1
cce416983dc,1
b752687cdb5,1
be331748ac9,0
5f46c3aa39c,0
d59cee24425,1
9c6a28e3b6a,0
ce579311199,1
2b5cac82f5e,1
5f827b14f72,1
68b7b797029,1
ff441cd2a69,1
8e8d3bf44c5,0
eb741c702f3,1
87b44387e2e,1
26892424d04,1
27992e5032c,1
8f3c33d15c0,1
9ded86985ab,1
ba34a76544d,1
135026d27dc,0
cd5153ea7f9,1
c8e3b0710e6,1
465a539de3c,1
6a35b36a57d,0
0f5a516496d,1
35c31105dab,1
28b3afedfd6,1
94baaefc6b7,1
483d1f62964,1
881f664bae5,1
e264ea30bcb,0
3ffe6013744,1
b5b69099136,1
cba8f814c20,1
f5ca7fd70c1,1
5df3f3268dd,1
93d5366cc47,0
50bc8bc9c61,1
c9809dc7eda,1
a8073e5ad45,0
9fed90ba924,1
f8fe9bff939,1
61a5acfeb1b,1
d27992edc68,1
99dcabfdbbd,0
2512ba9e217,0
b848195c647,1
9d77dde6afa,1
f68c725d5c2,1
5c2467209dc,1
3ac19c3c53f,0
890ae4cffee,1
34bdc4316ba,1
4523eb322c8,1
